Gene Symbol	CRISPR score 
TSPAN6	-0.79
TNMD	-0.28
DPM1	-0.21
SCYL3	-0.18
C1orf112	-1.42
FGR	-1.13
CFH	0.15
FUCA2	-0.21
GCLC	-0.93
NFYA	-1.38
STPG1	0.48
NIPAL3	0.30
LAS1L	-2.00
ENPP4	-0.23
SEMA3F	-0.50
CFTR	-0.18
ANKIB1	-0.27
CYP51A1	-0.08
KRIT1	-0.87
RAD52	-0.29
BAD	-0.07
LAP3	-0.65
CD99	-1.03
HS3ST1	-0.81
AOC1	-0.55
WNT16	-0.17
HECW1	-0.41
MAD1L1	-2.72
LASP1	-1.02
SNX11	-0.50
TMEM176A	0.27
M6PR	-0.11
KLHL13	-0.35
CYP26B1	-0.73
ICA1	-0.26
DBNDD1	-0.28
ALS2	-0.77
CASP10	-0.78
CFLAR	-0.36
TFPI	-0.04
NDUFAF7	-0.49
RBM5	-1.16
MTMR7	0.07
SLC7A2	-0.62
ARF5	-0.53
PLXND1	-0.82
AK2	0.03
CD38	-0.73
FKBP4	-0.29
KDM1A	-1.78
RBM6	-0.71
CAMKK1	-0.23
RECQL	0.00
CCDC132	0.22
HSPB6	-0.52
ARHGAP33	-1.00
NDUFAB1	-2.37
PDK4	-0.07
SLC22A16	-0.27
ZMYND10	-0.35
ABCB5	0.01
ARX	-0.63
SLC25A13	-0.12
ST7	-0.23
CDC27	-1.63
SLC4A1	-1.75
CALCR	-0.50
HCCS	-0.53
DVL2	-0.27
PRSS22	-0.25
UPF1	-2.07
SKAP2	0.13
SLC25A5	0.00
CCDC109B	0.06
HOXA11	-0.84
POLR2J	-2.58
DHX33	-2.38
MEOX1	-1.15
THSD7A	-0.52
LIG3	-1.94
RPAP3	-1.22
ACSM3	-0.61
CIAPIN1	-1.54
FAM214B	-1.14
PRKAR2B	-0.01
MSL3	0.59
CREBBP	-1.64
BZRAP1	-0.72
MPO	-0.77
PON1	-0.95
GCFC2	-0.08
WDR54	-0.88
CROT	-0.04
ABCB4	-1.05
KMT2E	-0.41
RHBDD2	-0.17
SOX8	-0.27
IBTK	-0.73
ZNF195	-0.08
FBXL3	-0.15
ITGAL	-0.37
PDK2	-0.37
ITGA3	-0.85
ZFX	-0.36
LAMP2	-0.10
GGNBP2	0.00
ITGA2B	-0.72
ASB4	0.01
GDE1	-0.87
C19orf60	0.00
CRLF1	-0.75
OSBPL7	-1.74
TMEM98	0.43
YBX2	-1.46
KRT33A	-0.20
ABCC8	-0.13
CCL18	0.21
CCL3	0.32
SYNRG	-0.56
CACNG3	-0.46
TMEM132A	-0.49
AP2B1	-0.49
TAC1	-0.15
ZNF263	-1.00
CX3CL1	-0.80
SPATA20	-0.39
CACNA1G	-1.31
TNFRSF12A	-0.12
DLX6	-0.27
MAP3K9	-0.11
RALA	0.19
BAIAP2L1	-0.61
ETV1	-0.15
AGK	-0.80
TTC22	0.25
PHTF2	-0.47
CCL26	-0.64
FARP2	-1.15
USH1C	-0.77
GGCT	0.29
DBF4	-0.64
TBXA2R	-0.58
IFRD1	-0.50
LGALS14	-0.07
COX10	-0.97
GTF2IRD1	0.01
PAF1	-1.79
VPS41	-1.13
ARHGAP44	-0.68
ELAC2	-2.03
SCIN	-0.31
ARSD	-0.65
PNPLA4	-0.29
MYH13	-0.68
ADIPOR2	-0.21
CDKL3	-0.05
UPP2	0.63
PRSS21	-0.42
MARK4	0.21
PROM1	-0.16
CCDC124	-1.03
CEACAM21	-0.46
PAFAH1B1	-2.24
NOS2	-0.32
DNAH9	-0.72
KIAA0100	-0.65
SLC13A2	-0.72
GAS7	-0.24
TRAPPC6A	-0.50
MATK	-1.02
CEACAM7	-0.68
CD79B	-0.98
SCN4A	-1.21
ST7L	-0.45
TKTL1	-0.30
PAX6	-0.36
RPUSD1	-0.49
RHBDF1	-1.36
LUC7L	-0.69
CACNA2D2	-0.88
BAIAP3	-1.01
TSR3	-0.55
PIGQ	-1.27
CRAMP1L	0.38
TEAD3	-1.08
SELE	0.33
DNAJC11	-2.05
FMO3	-0.14
MYLIP	-0.41
NOX1	-0.73
E2F2	-0.47
PSMB1	-1.69
SYN1	-0.84
JARID2	-1.27
CDKL5	-0.17
CAMK1G	-0.23
CDK11A	-0.61
NADK	-0.55
TFAP2B	-1.06
TFAP2D	-0.44
DLEC1	-0.10
CYTH3	-0.63
ADAM22	-0.66
SYPL1	0.35
CYB561	-0.24
SPAG9	-1.86
CELSR3	-0.81
AASS	0.24
PLEKHG6	-0.62
SS18L2	-1.99
MPND	-0.61
MGST1	0.00
CRY1	-0.01
PGLYRP1	-0.38
NFIX	-0.32
ST3GAL1	-0.62
MMP25	-0.46
IL32	-0.44
PKD1	-0.60
MED24	-1.17
RHOBTB2	-0.54
HEATR5B	-0.26
SEC62	-0.31
RPS20	-1.52
CSDE1	0.90
UBE3C	0.23
REV3L	-2.20
TENM1	-0.56
PAX7	-0.97
MASP2	-0.39
IYD	-0.42
FAM76A	0.42
TRAF3IP3	-0.21
POMT2	-0.19
VTA1	-0.03
MLXIPL	-0.52
BAZ1B	-0.77
RANBP9	-0.68
ETV7	-0.59
SPRTN	-2.20
METTL13	-0.59
DYRK4	-0.18
ZNF207	-0.42
UQCRC1	-1.41
STARD3NL	0.60
CD9	-0.13
HHATL	-0.73
NCAPD2	-2.44
IFFO1	0.02
GIPR	-0.09
PHF7	-0.19
SEMA3G	0.06
NISCH	0.59
STAB1	-1.91
FUZ	0.06
SLC6A13	0.17
IDS	-0.08
PRSS3	-0.56
ZNF200	-0.03
CD4	-0.48
LRRC23	-1.21
BTK	-0.78
HFE	0.34
SCMH1	-0.58
FYN	-0.17
HIVEP2	-0.78
FMO1	0.10
TCEB3	0.02
LYPLA2	-1.30
CLCN6	-1.06
MRC2	-0.52
SLC6A7	-0.82
TSPAN9	0.17
BTBD7	-0.39
APBA3	0.13
MKS1	0.07
ABHD5	0.22
KAL1	-0.68
AKAP8L	-1.19
MBTD1	0.97
UTP18	-1.17
RNF216	-0.30
TTC19	0.09
PTBP1	-2.83
DPF1	-0.20
SYT7	-0.41
LARS2	-2.18
PIK3C2A	-0.25
PLAUR	0.08
ANLN	-1.12
WIZ	-1.16
RABGAP1	-0.80
DCN	-0.37
QPCTL	-0.14
PPP5C	-0.76
CEP68	-1.41
MAP4K3	0.47
ZBTB32	-0.42
TYROBP	0.43
TMEM159	-0.18
GABRA3	-0.51
BRCA1	-2.16
ERCC1	-1.99
CD22	-0.42
MBTPS2	-1.68
PRICKLE3	-0.27
LTF	-0.09
EXTL3	-1.07
NR1H4	-0.28
ELOVL5	0.31
ALOX5	0.00
KDM5D	0.20
CALCOCO1	0.11
UBR7	-0.29
EHD3	-0.55
PSMC4	-1.72
MAN2B2	-0.38
SLC7A14	-0.43
CLDN11	-0.51
SLC25A39	-0.26
MVP	-0.66
NUB1	-0.69
PGM3	-0.58
RWDD2A	-0.29
CLK1	-0.48
POLR3B	-1.74
ANGEL1	-0.02
RNF14	-0.84
DNASE1L1	-0.45
DDX11	-2.36
HEBP1	-0.07
GPRC5A	-0.48
MAMLD1	-0.15
CD6	-0.46
TACC3	-1.93
UFL1	-1.59
POLA2	-1.55
ZC3H3	-1.95
