Elapsed	A1.1	A1.2	A1.3	A1.4	A1.5	A1.6	A1.7	A1.8	A1.9	A1.10	A1.11	A1.12	A1.13	A1.14	A1.15	A1.16	A1.17	A1.18	A1.19	A1.20	A1.21	A1.22	A1.23	A1.24	A1.25	B1.1	B1.2	B1.3	B1.4	B1.5	B1.6	B1.7	B1.8	B1.9	B1.10	B1.11	B1.12	B1.13	B1.14	B1.15	B1.16	B1.17	B1.18	B1.19	B1.20	B1.21	B1.22	B1.23	B1.24	B1.25	C1.1	C1.2	C1.3	C1.4	C1.5	C1.6	C1.7	C1.8	C1.9	C1.10	C1.11	C1.12	C1.13	C1.14	C1.15	C1.16	C1.17	C1.18	C1.19	C1.20	C1.21	C1.22	C1.23	C1.24	C1.25	D1.1	D1.2	D1.3	D1.4	D1.5	D1.6	D1.7	D1.8	D1.9	D1.10	D1.11	D1.12	D1.13	D1.14	D1.15	D1.16	D1.17	D1.18	D1.19	D1.20	D1.21	D1.22	D1.23	D1.24	D1.25	A12.1	A12.2	A12.3	A12.4	A12.5	A12.6	A12.7	A12.8	A12.9	A12.10	A12.11	A12.12	A12.13	A12.14	A12.15	A12.16	A12.17	A12.18	A12.19	A12.20	A12.21	A12.22	A12.23	A12.24	A12.25	B12.1	B12.2	B12.3	B12.4	B12.5	B12.6	B12.7	B12.8	B12.9	B12.10	B12.11	B12.12	B12.13	B12.14	B12.15	B12.16	B12.17	B12.18	B12.19	B12.20	B12.21	B12.22	B12.23	B12.24	B12.25	C12.1	C12.2	C12.3	C12.4	C12.5	C12.6	C12.7	C12.8	C12.9	C12.10	C12.11	C12.12	C12.13	C12.14	C12.15	C12.16	C12.17	C12.18	C12.19	C12.20	C12.21	C12.22	C12.23	C12.24	C12.25	D12.1	D12.2	D12.3	D12.4	D12.5	D12.6	D12.7	D12.8	D12.9	D12.10	D12.11	D12.12	D12.13	D12.14	D12.15	D12.16	D12.17	D12.18	D12.19	D12.20	D12.21	D12.22	D12.23	D12.24	D12.25
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1.06495	1.114257	1.097066	1.076324	1.058497	1.067427	1.071136	1.044556	1.094955	1.062031	1.085569	1.060789	1.072356	1.07996	1.062669	1.089189	1.084286	1.098788	1.096853	1.061187	1.061938	1.059102	1.063566	1.10904	1.045444	1.091075	1.078199	1.059562	1.074969	1.063349	1.069104	1.067825	1.086795	1.068528	1.062323	1.071833	1.095539	1.093025	1.036978	1.089984	1.090524	1.077728	1.06894	1.108135	1.127931	1.078964	1.073077	1.074957	1.087362	1.060866	1.083395	1.130122	1.078646	1.07252	1.068142	1.077798	1.069794	1.048779	1.100955	1.068369	1.089066	1.064991	1.091062	1.101693	1.090839	1.097871	1.064917	1.075992	1.088263	1.09491	1.088275	1.094653	1.083303	1.086302	1.060237	1.090469	1.071241	1.048287	1.076336	1.049999	1.068201	1.093787	1.059668	1.122922	1.087296	1.05722	1.048103	1.111321	1.074994	1.127536	1.067419	1.096806	1.06436	1.081856	1.071849	1.113618	1.078783	1.110468	1.072508	1.053549	1.084947	1.075132	1.062695	1.111248	1.097132	1.078023	1.079841	1.066126	1.066027	1.120299	1.063776	1.081513	1.11632	1.115523	1.103976	1.095423	1.084313	1.089488	1.0818	1.079713	1.113373	1.118956	1.074625	1.059589	1.070578	1.082504	1.052087	1.092687	1.077163	1.11683	1.068116	1.095063	1.080855	1.120654	1.087228	1.081033	1.075117	1.103164	1.09801	1.078674	1.10312	1.095149	1.113482	1.112751	1.07317	1.086386	1.119959	1.095118	1.076841	1.08712	1.07792	1.088312	1.083982	1.122528	1.07413	1.06841	1.08109	1.125448	1.076966	1.097927	1.084005	1.052963	1.107083	1.103482	1.067236	1.142134	1.127452	1.087577	1.086597	1.075251	1.081298	1.095867	1.060907	1.092742	1.088826	1.091975	1.094517	1.060549	1.089867	1.057829	1.07599	1.06234	1.092116	1.089379	1.073687	1.097106	1.103217	1.105544	1.062049	1.075909	1.075263	1.081519	1.103451	1.094091	1.091723	1.058481	1.084772	1.106352	1.103212	1.074131
4	1.155415	1.207749	1.172949	1.161014	1.118535	1.129898	1.152524	1.120257	1.197921	1.127187	1.135472	1.123795	1.183169	1.131758	1.156934	1.160858	1.150933	1.163836	1.15425	1.17332	1.111647	1.132376	1.127334	1.219493	1.183905	1.197464	1.147954	1.119284	1.174558	1.12646	1.139323	1.157941	1.188719	1.190919	1.13892	1.146766	1.167548	1.18478	1.097617	1.195541	1.143792	1.144838	1.110581	1.20582	1.226361	1.147569	1.133448	1.152372	1.133956	1.112494	1.183701	1.215156	1.102036	1.170787	1.147627	1.167465	1.159198	1.173796	1.170824	1.116071	1.160955	1.150358	1.181753	1.209634	1.146914	1.166547	1.149757	1.141623	1.155438	1.151654	1.1804	1.162045	1.171645	1.139027	1.134196	1.161042	1.134905	1.124723	1.156126	1.101535	1.106584	1.174166	1.134149	1.242808	1.169858	1.114277	1.118412	1.19395	1.109206	1.206967	1.119328	1.174151	1.123777	1.134859	1.143199	1.216237	1.189224	1.166687	1.132297	1.103183	1.154934	1.142144	1.120161	1.212724	1.224137	1.150886	1.154096	1.136813	1.16961	1.240791	1.144134	1.143875	1.232901	1.208011	1.208672	1.197886	1.189105	1.211713	1.147762	1.140654	1.258891	1.182297	1.192301	1.133421	1.139401	1.146658	1.118187	1.174025	1.163006	1.237484	1.170235	1.162395	1.134736	1.210981	1.18404	1.214065	1.169352	1.147993	1.176495	1.169057	1.194794	1.202114	1.201981	1.192348	1.148195	1.154868	1.228215	1.207032	1.121369	1.159018	1.133813	1.187224	1.147354	1.221509	1.137999	1.13317	1.168302	1.190646	1.164914	1.168815	1.174576	1.13273	1.174574	1.154685	1.157011	1.221297	1.228201	1.178445	1.164393	1.187093	1.15536	1.184093	1.10932	1.189328	1.16666	1.176924	1.197254	1.171481	1.176774	1.127157	1.185574	1.155358	1.143897	1.182133	1.165153	1.204131	1.192168	1.206436	1.149475	1.131316	1.160502	1.183341	1.159849	1.156331	1.160334	1.137687	1.161517	1.208106	1.178312	1.166984
6	1.201934	1.236549	1.242651	1.244854	1.184862	1.190396	1.228619	1.211331	1.250577	1.186755	1.170119	1.202081	1.264387	1.171548	1.20841	1.235916	1.214092	1.224771	1.26328	1.300512	1.146566	1.201221	1.200585	1.3019	1.280275	1.260044	1.200881	1.203304	1.258013	1.177108	1.172781	1.239908	1.308062	1.285745	1.213653	1.194697	1.249407	1.259631	1.189814	1.26039	1.208112	1.207678	1.190881	1.261527	1.313732	1.23099	1.183587	1.211901	1.195808	1.185466	1.256568	1.313837	1.165856	1.286165	1.214464	1.260139	1.202461	1.249119	1.262054	1.219905	1.199237	1.223674	1.247352	1.273001	1.232342	1.243035	1.213839	1.220187	1.22744	1.217858	1.20325	1.23894	1.266264	1.205001	1.188125	1.214823	1.174525	1.196889	1.225132	1.162829	1.169119	1.252099	1.234955	1.328138	1.2395	1.161256	1.185377	1.249286	1.208431	1.280356	1.218786	1.266385	1.207089	1.176048	1.210282	1.279665	1.274421	1.223405	1.195229	1.150139	1.222041	1.213918	1.198302	1.262167	1.269292	1.233848	1.22947	1.179416	1.24763	1.321994	1.230287	1.230229	1.276063	1.283696	1.268009	1.242772	1.288656	1.320915	1.217374	1.206187	1.328625	1.275054	1.290114	1.22991	1.218367	1.227502	1.192735	1.231742	1.257517	1.293975	1.271166	1.226894	1.186619	1.276674	1.285186	1.331743	1.238153	1.225669	1.216764	1.261656	1.31343	1.27007	1.283854	1.292299	1.220553	1.240683	1.279183	1.279944	1.188598	1.257646	1.208018	1.274165	1.224892	1.298936	1.220285	1.216559	1.261112	1.304325	1.249464	1.237037	1.249923	1.292058	1.266564	1.250443	1.246479	1.332759	1.313916	1.263957	1.229794	1.283066	1.243206	1.247497	1.171506	1.265451	1.247891	1.287642	1.243149	1.249214	1.240203	1.179399	1.279692	1.249718	1.193079	1.251595	1.230096	1.306445	1.243047	1.251937	1.233613	1.225896	1.240974	1.264095	1.236058	1.227829	1.228603	1.22038	1.242683	1.289862	1.22563	1.282474
8	1.272685	1.344946	1.295933	1.297041	1.23999	1.261608	1.268639	1.307705	1.321856	1.24888	1.233215	1.304365	1.318757	1.298583	1.264215	1.302375	1.280689	1.281833	1.357982	1.367263	1.189956	1.259758	1.292544	1.328544	1.374618	1.307492	1.292024	1.321362	1.349238	1.244799	1.264353	1.317098	1.358404	1.379277	1.284599	1.254081	1.324702	1.334005	1.260808	1.327531	1.295919	1.287636	1.275492	1.33608	1.380873	1.286435	1.237136	1.295194	1.26618	1.256673	1.283993	1.412579	1.237862	1.321386	1.270703	1.351405	1.25233	1.343789	1.352761	1.296657	1.254469	1.290368	1.325858	1.328826	1.303316	1.325799	1.283358	1.2682	1.291658	1.296962	1.258977	1.29185	1.350237	1.279358	1.235871	1.258601	1.247025	1.25343	1.273363	1.220107	1.222787	1.332329	1.326623	1.427692	1.326886	1.225592	1.274745	1.353069	1.305753	1.365625	1.302228	1.384914	1.263788	1.255618	1.278593	1.360648	1.345517	1.281058	1.247847	1.194478	1.281056	1.274008	1.268977	1.363395	1.354062	1.30947	1.31223	1.280504	1.305148	1.380303	1.304019	1.314785	1.34942	1.362489	1.369779	1.329935	1.378272	1.444336	1.304548	1.275836	1.398405	1.410815	1.35008	1.272666	1.27701	1.287618	1.261337	1.32401	1.322031	1.407892	1.338422	1.296451	1.2485	1.36607	1.412515	1.401862	1.323358	1.315097	1.295164	1.37412	1.366938	1.33409	1.375676	1.369715	1.307767	1.333871	1.365637	1.34414	1.255249	1.317988	1.274968	1.352451	1.306365	1.365835	1.317586	1.30279	1.339976	1.427609	1.29003	1.340421	1.334392	1.40261	1.366275	1.312584	1.331756	1.404871	1.378915	1.37227	1.290618	1.354389	1.331443	1.369442	1.236977	1.352818	1.31316	1.432924	1.30792	1.367317	1.292881	1.257679	1.372662	1.351049	1.265922	1.343812	1.306762	1.402935	1.297272	1.306225	1.302037	1.286974	1.333927	1.338524	1.31243	1.285372	1.283347	1.287472	1.327623	1.321955	1.337097	1.345009
10	1.373756	1.471646	1.362669	1.336744	1.296211	1.344762	1.382335	1.350814	1.431529	1.333388	1.312322	1.384209	1.407288	1.410879	1.380314	1.367219	1.338048	1.388638	1.456761	1.447582	1.228737	1.3318	1.381791	1.396487	1.504224	1.381479	1.354094	1.397554	1.429204	1.318511	1.350155	1.425404	1.424567	1.483916	1.356966	1.324355	1.385433	1.416652	1.357163	1.401922	1.410782	1.380012	1.393073	1.436839	1.425978	1.366735	1.3297	1.370049	1.321363	1.339037	1.34823	1.502814	1.296056	1.393939	1.332555	1.463081	1.383926	1.413184	1.458693	1.386574	1.333986	1.381539	1.398723	1.42359	1.405881	1.413325	1.371483	1.351618	1.372882	1.380934	1.328691	1.395258	1.437383	1.383215	1.291942	1.334131	1.331084	1.326987	1.342267	1.282467	1.309958	1.403865	1.400094	1.514046	1.425572	1.349551	1.330643	1.458056	1.422884	1.450933	1.408142	1.475831	1.360881	1.352718	1.340995	1.444986	1.419601	1.36101	1.309648	1.251106	1.367098	1.336028	1.326356	1.469044	1.418235	1.390433	1.389796	1.379173	1.383877	1.461844	1.373729	1.42957	1.444628	1.453507	1.418751	1.413015	1.466557	1.627188	1.402099	1.341491	1.520198	1.523775	1.432634	1.341343	1.36428	1.369576	1.374279	1.427456	1.390395	1.532312	1.448821	1.379708	1.363814	1.478689	1.509988	1.500116	1.439687	1.386029	1.415258	1.483686	1.468039	1.441617	1.471333	1.477977	1.40635	1.482454	1.47082	1.444744	1.328489	1.35593	1.364814	1.443168	1.408754	1.455504	1.407981	1.392467	1.464717	1.57074	1.37974	1.414429	1.405069	1.497944	1.497715	1.444354	1.442393	1.513753	1.505316	1.463928	1.401055	1.454861	1.43952	1.4569	1.317775	1.441653	1.416666	1.497459	1.442408	1.452821	1.38061	1.341329	1.47228	1.470473	1.371505	1.436339	1.391519	1.530538	1.382046	1.380487	1.375425	1.386658	1.417616	1.43297	1.384547	1.408241	1.374291	1.369069	1.43172	1.419801	1.443644	1.443562
12	1.470054	1.54544	1.47523	1.46297	1.358064	1.407384	1.470167	1.48069	1.508927	1.416284	1.430053	1.45626	1.495255	1.487846	1.482231	1.418943	1.418984	1.482356	1.512011	1.565866	1.269397	1.394572	1.456706	1.504617	1.608451	1.447819	1.44231	1.483835	1.501969	1.379936	1.430746	1.497945	1.5247	1.555201	1.425231	1.428551	1.47047	1.525762	1.439669	1.503316	1.504458	1.45909	1.490136	1.528911	1.534366	1.434945	1.423231	1.438263	1.406466	1.410958	1.405038	1.62025	1.408928	1.476003	1.414465	1.596885	1.431173	1.530475	1.564242	1.475068	1.427463	1.466321	1.48712	1.572637	1.519896	1.50329	1.473101	1.439825	1.459058	1.460186	1.436081	1.479248	1.518014	1.454271	1.352602	1.405547	1.411635	1.406362	1.42389	1.336288	1.388754	1.468122	1.486233	1.594571	1.531816	1.477102	1.421584	1.579815	1.527553	1.578166	1.505187	1.561072	1.441095	1.447582	1.400741	1.547366	1.479906	1.461152	1.391902	1.300935	1.452553	1.419054	1.40524	1.576631	1.485449	1.481204	1.491729	1.486635	1.436241	1.526017	1.463923	1.539717	1.517619	1.57933	1.518118	1.552576	1.593174	1.768796	1.509341	1.403907	1.603159	1.635644	1.517241	1.424798	1.438256	1.439647	1.467868	1.537791	1.514626	1.685294	1.547573	1.473625	1.474485	1.62548	1.612085	1.604175	1.538795	1.524805	1.549803	1.584389	1.583577	1.575222	1.553143	1.576719	1.484219	1.604764	1.617945	1.55236	1.449521	1.441667	1.428955	1.515459	1.506329	1.554383	1.514594	1.471016	1.573094	1.680629	1.505683	1.53828	1.491143	1.672498	1.61174	1.538925	1.555008	1.655201	1.622237	1.557665	1.524858	1.543284	1.550918	1.540625	1.398234	1.492557	1.508644	1.627517	1.554505	1.567316	1.467089	1.409357	1.574493	1.59924	1.468873	1.514177	1.466851	1.635026	1.499713	1.470207	1.479511	1.456899	1.500923	1.537163	1.497315	1.49286	1.44902	1.457309	1.525636	1.537919	1.512019	1.537345
14	1.57904	1.671075	1.56984	1.547222	1.400419	1.492697	1.578139	1.585168	1.630321	1.487463	1.519943	1.523344	1.578312	1.616163	1.567204	1.4747	1.498353	1.63132	1.629841	1.686744	1.296391	1.435146	1.543947	1.619679	1.694336	1.540013	1.556068	1.570626	1.606965	1.454814	1.497051	1.576819	1.643462	1.671156	1.512019	1.525559	1.537735	1.626794	1.540835	1.611358	1.630422	1.532279	1.592664	1.693253	1.668935	1.521493	1.507586	1.507984	1.489899	1.494768	1.490367	1.692885	1.455024	1.585524	1.472301	1.701918	1.577621	1.649362	1.68843	1.600672	1.522552	1.565971	1.569751	1.727336	1.629974	1.599047	1.560785	1.540777	1.550237	1.551278	1.543755	1.56654	1.599854	1.55177	1.39345	1.482657	1.488809	1.453073	1.480776	1.378674	1.489994	1.544936	1.562048	1.711063	1.610265	1.557187	1.510705	1.704362	1.643618	1.666812	1.624307	1.685099	1.527855	1.518799	1.445662	1.657094	1.528331	1.534873	1.467501	1.349527	1.548545	1.502219	1.501874	1.714554	1.646897	1.578987	1.607227	1.609399	1.595394	1.68323	1.552384	1.642698	1.598868	1.719158	1.611677	1.651685	1.691807	1.886724	1.593777	1.485239	1.731792	1.784001	1.608219	1.496396	1.492344	1.520873	1.557157	1.634863	1.647631	1.830481	1.644488	1.57892	1.60821	1.779471	1.776195	1.728262	1.635772	1.665624	1.66718	1.691389	1.783948	1.745134	1.648844	1.720936	1.573978	1.692285	1.741807	1.642521	1.565311	1.531469	1.521386	1.637708	1.5893	1.663606	1.604032	1.549056	1.678737	1.842047	1.640489	1.657622	1.62253	1.82409	1.732934	1.661561	1.662403	1.778826	1.781676	1.700646	1.598809	1.657201	1.612654	1.63702	1.488261	1.574259	1.600645	1.748394	1.730581	1.747311	1.562807	1.479235	1.684139	1.681422	1.583797	1.626461	1.548581	1.753004	1.606848	1.525363	1.601265	1.533238	1.57954	1.627692	1.627136	1.623246	1.531732	1.518395	1.61431	1.639312	1.634353	1.661949
16	1.634542	1.814898	1.694883	1.641372	1.438947	1.556851	1.682487	1.680447	1.699735	1.546086	1.571389	1.59429	1.679921	1.71283	1.670366	1.52643	1.567251	1.727434	1.728441	1.843353	1.338467	1.497414	1.617188	1.716226	1.812345	1.669189	1.630716	1.68527	1.732178	1.530682	1.561684	1.676513	1.816531	1.747706	1.607468	1.619492	1.616809	1.721839	1.68814	1.701759	1.746521	1.592163	1.669396	1.82779	1.795713	1.614428	1.586263	1.588606	1.550303	1.563054	1.596027	1.806322	1.542559	1.683765	1.539491	1.805965	1.734532	1.794645	1.740201	1.674635	1.627721	1.639577	1.654319	1.896297	1.723268	1.666537	1.650926	1.618522	1.647817	1.622205	1.655785	1.639584	1.680859	1.63079	1.443655	1.540194	1.5394	1.530748	1.551569	1.431272	1.566341	1.641032	1.673033	1.828948	1.702155	1.626567	1.608328	1.829307	1.758458	1.82284	1.711299	1.852839	1.618129	1.581783	1.504868	1.748943	1.593587	1.618278	1.537084	1.389228	1.657321	1.57222	1.583886	1.848657	1.774179	1.663649	1.719143	1.6833	1.684576	1.847362	1.643684	1.754194	1.748664	1.848621	1.68434	1.768919	1.869739	2.044465	1.693379	1.577654	1.846744	1.887794	1.729062	1.568293	1.583075	1.609103	1.639082	1.708372	1.756169	1.929519	1.762137	1.663231	1.711138	1.898137	1.899695	1.880098	1.771775	1.79958	1.767684	1.813147	1.942006	1.888781	1.779172	1.852479	1.656556	1.813764	1.871429	1.777901	1.641227	1.610677	1.589489	1.746371	1.689263	1.791704	1.747576	1.640621	1.770842	2.001483	1.719894	1.767898	1.761412	1.968302	1.836534	1.784319	1.775427	1.942063	1.935313	1.83022	1.739312	1.767191	1.735416	1.731957	1.579414	1.672145	1.683634	1.919682	1.844437	1.863314	1.634976	1.536965	1.781768	1.779684	1.666099	1.742244	1.629664	1.864718	1.704453	1.619772	1.654856	1.591688	1.678443	1.740336	1.71765	1.726214	1.602831	1.62885	1.734097	1.739998	1.712311	1.771166
18	1.721946	1.890965	1.785607	1.694142	1.471726	1.639659	1.805995	1.8131	1.846409	1.624784	1.618832	1.653245	1.813814	1.826452	1.773722	1.582077	1.635306	1.833841	1.82835	1.974193	1.357154	1.535722	1.699507	1.839955	1.961291	1.759213	1.697601	1.762116	1.847866	1.607827	1.658817	1.757314	1.937389	1.903759	1.687565	1.703532	1.695807	1.849309	1.796303	1.783811	1.844949	1.6748	1.765699	1.952388	1.872789	1.690168	1.650044	1.677162	1.614495	1.63529	1.705973	1.913033	1.606273	1.7888	1.600678	1.990563	1.887015	1.92917	1.842668	1.789768	1.738486	1.749938	1.782802	2.006869	1.901328	1.738922	1.737466	1.699633	1.717885	1.717169	1.741217	1.726612	1.760702	1.724068	1.494746	1.588103	1.59182	1.624415	1.600097	1.478676	1.599425	1.728179	1.804306	1.944136	1.78697	1.712618	1.700103	1.955994	1.919855	1.911961	1.820747	1.971562	1.739047	1.679645	1.555861	1.865867	1.678944	1.712155	1.577817	1.421838	1.703457	1.650267	1.658873	1.952945	1.901253	1.726121	1.793245	1.780921	1.840508	1.989061	1.720861	1.875615	1.897749	1.991675	1.790987	1.861277	2.004594	2.191122	1.781449	1.66038	1.986058	2.057978	1.822113	1.627216	1.666221	1.673044	1.712425	1.783932	1.852837	2.057579	1.83742	1.744502	1.824512	1.982413	2.052412	1.982238	1.888486	1.909054	1.928175	1.909518	2.101216	2.046916	1.867732	1.950269	1.715152	1.935198	2.004952	1.909482	1.70884	1.70978	1.654154	1.860536	1.780439	1.915927	1.86372	1.727852	1.906656	2.166098	1.862173	1.87849	1.905874	2.175997	2.008631	1.902522	1.88821	2.118749	2.05027	1.925662	1.850214	1.909567	1.841845	1.840992	1.673115	1.755424	1.771152	2.047844	1.931497	2.001871	1.719207	1.598955	1.902852	1.887521	1.743276	1.82194	1.695204	1.958953	1.791426	1.708613	1.751895	1.659039	1.790623	1.846675	1.786612	1.851888	1.666021	1.70972	1.844484	1.834856	1.818622	1.823372
