NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_SMALL_SUBUNIT_PROCESSOME	GOCC_SMALL_SUBUNIT_PROCESSOME	Details ...	34	0.8016306	1.950733	0.0	0.0	0.0	2207	tags=71%, list=12%, signal=80%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Details ...	15	0.8720221	1.9427704	0.0	0.0	0.0	1371	tags=67%, list=7%, signal=72%	
GNF2_CKS2	GNF2_CKS2	Details ...	50	0.76804197	1.9185721	0.0	9.973587E-4	0.003	2075	tags=56%, list=11%, signal=63%	
GNF2_CKS1B	GNF2_CKS1B	Details ...	36	0.788289	1.9162724	0.0	9.972485E-4	0.004	2349	tags=67%, list=12%, signal=76%	
GOBP_CENTROMERE_COMPLEX_ASSEMBLY	GOBP_CENTROMERE_COMPLEX_ASSEMBLY	Details ...	40	0.76926416	1.9024901	0.0	0.001994115	0.01	1421	tags=48%, list=8%, signal=51%	
GNF2_CDC20	GNF2_CDC20	Details ...	54	0.75471187	1.897098	0.0	0.0023263223	0.014	3324	tags=65%, list=18%, signal=78%	
GNF2_ST13	GNF2_ST13	Details ...	62	0.74638295	1.8911985	0.0	0.00242133	0.017	2311	tags=56%, list=12%, signal=64%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	28	0.7886153	1.8878539	0.0	0.002243322	0.018	1421	tags=50%, list=8%, signal=54%	
GOBP_CHROMATIN_REMODELING_AT_CENTROMERE	GOBP_CHROMATIN_REMODELING_AT_CENTROMERE	Details ...	31	0.7820121	1.8875638	0.0	0.001994064	0.018	1421	tags=48%, list=8%, signal=52%	
GOBP_TELOMERASE_RNA_LOCALIZATION	GOBP_TELOMERASE_RNA_LOCALIZATION	Details ...	19	0.81810135	1.8871788	0.0	0.0017946578	0.018	2339	tags=79%, list=12%, signal=90%	
GOBP_REGULATION_OF_HELICASE_ACTIVITY	GOBP_REGULATION_OF_HELICASE_ACTIVITY	Details ...	12	0.8695541	1.8864187	0.0	0.0017221572	0.019	1276	tags=58%, list=7%, signal=63%	
GNF2_HMMR	GNF2_HMMR	Details ...	47	0.75942403	1.8860817	0.0	0.001578644	0.019	1786	tags=49%, list=9%, signal=54%	
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	Details ...	12	0.8627944	1.883371	0.0	0.0016873397	0.022	2339	tags=92%, list=12%, signal=105%	
QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_28D_PEAK_T_CELL_RESPONSE_14DY_NEGATIVE	QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_28D_PEAK_T_CELL_RESPONSE_14DY_NEGATIVE	Details ...	37	0.7723775	1.8807205	0.0	0.0015668154	0.022	2848	tags=70%, list=15%, signal=83%	
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	Details ...	15	0.8474057	1.8792243	0.0	0.0014623611	0.022	1137	tags=73%, list=6%, signal=78%	
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	Details ...	41	0.75982195	1.8751132	0.0	0.0016202487	0.026	2946	tags=76%, list=16%, signal=89%	
