Elapsed	ARID1A-HET,10	ARID1A-HET,2	ARID1A-HET,0.4	ARID1A-HET,0.08	ARID1A-HET,0.02	ARID1A-HET,0	ARID1A-WT,10	ARID1A-WT,2	ARID1A-WT,0.4	ARID1A-WT,0.08	ARID1A-WT,0.02	ARID1A-WT,0
0	0.928546902	1.015017247	1.139995412	1.04013321	1.052983394	1	0.862998059	0.921506303	1.126633655	0.969149294	1.162138076	1
2	0.918401046	1.009053338	1.134433782	1.032022274	1.039083212	1	0.853785669	0.928730908	1.121647213	0.962372597	1.16133454	1
4	0.91410972	1.013214038	1.136213102	1.03107855	1.044463847	1	0.867738573	0.936855215	1.126605669	0.973963399	1.164582071	1
6	0.897114228	1.010159953	1.13996951	1.03469736	1.047798641	1	0.831269142	0.922349101	1.106241487	0.980880798	1.158162658	1
8	0.81124903	0.9540412	1.100906019	1.03701294	1.049916286	1	0.770113736	0.86064237	1.062297369	0.964569751	1.136842417	1
10	0.79284256	0.890648399	1.053124735	1.045566272	1.057928934	1	0.708370548	0.819052051	1.039923491	0.979376986	1.151683797	1
12	0.810441556	0.868313134	1.015253895	1.034827714	1.067059429	1	0.667172865	0.753920972	0.961286019	0.957403814	1.155954424	1
14	0.768846297	0.848675162	0.990565671	1.002940442	1.08381689	1	0.641520453	0.708655805	0.893270866	0.906075161	1.16703771	1
16	0.741140742	0.841730734	0.971907069	0.970809692	1.095437553	1	0.561957622	0.685747078	0.841674248	0.848553547	1.173414278	1
18	0.74899146	0.834754901	0.963519179	0.947912219	1.105312262	1	0.539654154	0.683414441	0.814553693	0.803585897	1.176755773	1
20	0.71722496	0.823533333	0.949973479	0.913766064	1.104339685	1	0.510403794	0.662830234	0.809375903	0.767184449	1.172027827	1
22	0.664300754	0.805934266	0.937119486	0.889012929	1.097519332	1	0.47917714	0.632785502	0.789007224	0.732402226	1.159705479	1
24	0.633460467	0.787704705	0.915635274	0.864985021	1.096074596	1	0.449935066	0.607717684	0.785934104	0.706134791	1.148797643	1
26	0.595154728	0.75001167	0.889104248	0.827677732	1.094645583	1	0.422267511	0.580509325	0.778504893	0.698967924	1.129982519	1
28	0.00937955	0.049709043	0.137723248	0.28380607	1.084936262	1	0.02899714	0.356617857	0.613262248	0.498606358	1.115205915	1
30	0.011829808	0.064102662	0.164872999	0.30793278	1.062651432	1	0.041364136	0.352843569	0.640480217	0.529762223	1.09261984	1
32	0.010521974	0.060655226	0.156881276	0.303326587	1.050514695	1	0.040373337	0.312023242	0.623484593	0.520423	1.070334052	1
34	0.010100345	0.056215659	0.148318647	0.308355515	1.045345275	1	0.040141582	0.260362979	0.60818588	0.507083822	1.059231352	1
36	0.010078916	0.052175726	0.140719318	0.303608256	1.036530467	1	0.03844232	0.234526727	0.579463228	0.498986725	1.04579926	1
38	0.009632515	0.051232492	0.132835234	0.287227713	1.026058666	1	0.037335738	0.235074486	0.55387622	0.487179192	1.032719524	1
40	0.009523886	0.050302126	0.127453885	0.276316128	1.013189578	1	0.035901057	0.233541888	0.512053731	0.471493708	1.017286214	1
42	0.009240247	0.048342529	0.122682482	0.262465173	1.003435268	1	0.036276302	0.230240996	0.477451783	0.454390369	1.008574207	1
44	0.009192054	0.048145354	0.11780624	0.24783146	0.996373853	1	0.035406969	0.227248899	0.450926414	0.424707631	1.00192487	1
46	0.008852638	0.047446898	0.113566176	0.23633984	0.992913726	1	0.034263867	0.219452752	0.420254973	0.399511705	0.998848979	1
48	0.008757067	0.046257758	0.111176651	0.22260441	0.992630745	1	0.033866696	0.212282584	0.401130187	0.363598617	0.998882775	1
50	0.008883544	0.046911272	0.109951703	0.214728651	0.994224715	1	0.033697146	0.207615775	0.387261776	0.339698759	0.998849858	1
52	0.008532995	0.048154675	0.106485828	0.207007716	0.994664429	1	0.033865099	0.200815409	0.370046632	0.315570086	0.999226802	1
54	0.008312457	0.046265502	0.106296792	0.197088849	0.997021553	1	0.03221739	0.19551311	0.362441073	0.296253254	0.999551449	1
56	0.00841765	0.045818771	0.104142727	0.190681479	0.998183538	1	0.031831533	0.185979001	0.349886363	0.286204895	0.999723094	1
58	0.007855121	0.045358672	0.102742719	0.184630095	0.999241307	1	0.030515848	0.183120006	0.338038788	0.274410104	0.999936799	1
