Elapsed	ARID1A-HET,10	ARID1A-HET,2	ARID1A-HET,0.4	ARID1A-HET,0.08	ARID1A-HET,0.02	ARID1A-HET,0	ARID1A-WT,10	ARID1A-WT,2	ARID1A-WT,0.4	ARID1A-WT,0.08	ARID1A-WT,0.02	ARID1A-WT,0
0	24.77053	27.07727	30.41127	27.74728	28.09008	26.67666	23.59945	25.19941	30.8088	26.50225	31.7797	27.34589
2	26.49092	29.10575	32.7223	29.76828	29.97195	28.84461	25.84247	28.11092	33.95013	29.12919	35.15139	30.2681
4	28.28931	31.35633	35.16283	31.90919	32.32343	30.94739	28.82408	31.11996	37.42299	32.3526	38.68447	33.21747
6	29.40535	33.11073	37.36559	33.91501	34.34444	32.77771	30.01259	33.30099	39.94034	35.41425	41.81493	36.10454
8	29.16407	34.29739	39.57712	37.28019	37.74406	35.94959	31.1908	34.85735	43.02469	39.06657	46.04388	40.50155
10	30.4268	34.18028	40.41561	40.12554	40.59998	38.37685	31.0978	35.95677	45.65313	42.99511	50.55946	43.90047
12	32.86099	35.20751	41.16552	41.95918	43.26608	40.54702	31.79473	35.92879	45.81096	45.62595	55.08806	47.65591
14	32.83578	36.2451	42.30494	42.83344	46.2875	42.70786	32.94255	36.39	45.87012	46.52763	59.92825	51.35074
16	33.57289	38.12951	44.02636	43.97665	49.62216	45.29894	31.2727	38.16153	46.83881	47.22164	65.3	55.64957
18	36.02962	40.1552	46.3493	45.59854	53.17014	48.10418	32.40396	41.03616	48.91052	48.25195	70.65923	60.04579
20	36.90159	42.37121	48.87662	47.01373	56.81884	51.45051	32.92106	42.75257	52.20477	49.48342	75.59583	64.50003
22	36.49483	44.27578	51.48273	48.83989	60.29465	54.93721	33.07571	43.67869	54.46206	50.55484	80.0499	69.02606
24	37.01917	46.03314	53.50935	50.54937	64.05415	58.43959	32.98932	44.55797	57.62483	51.77393	84.23005	73.32018
26	36.97319	46.59347	55.23441	51.41837	68.00339	62.12366	32.82233	45.12227	60.51222	54.32991	87.83214	77.72876
28	0.6157249	3.263173	9.040906	18.63058	71.22114	65.64546	2.340757	28.78752	49.50481	40.24936	90.02357	80.72372
30	0.8377371	4.53948	11.67561	21.8065	75.25249	70.81578	3.476496	29.65514	53.82989	44.52447	91.83048	84.04614
32	0.8080754	4.658251	12.0483	23.29513	80.67831	76.79884	3.548803	27.42674	54.80409	45.74501	94.08201	87.89967
34	0.8216568	4.573109	12.06563	25.08453	85.03819	81.34938	3.626065	23.51908	54.93858	45.80584	95.68237	90.33189
36	0.8604823	4.454476	12.01384	25.9204	88.49326	85.37449	3.563392	21.73934	53.71306	46.25333	96.93985	92.69451
38	0.8569163	4.557684	11.81713	25.55201	91.27901	88.96081	3.538343	22.27823	52.49137	46.17043	97.8718	94.77094
40	0.8760378	4.626952	11.72362	25.41645	93.19645	91.98323	3.476187	22.61313	49.58056	45.65326	98.50064	96.82687
42	0.8714473	4.559182	11.57018	24.75308	94.63394	94.30996	3.560145	22.59578	46.85697	44.59373	98.98116	98.13969
44	0.8827665	4.623679	11.31362	23.8007	95.68759	96.03583	3.508194	22.51628	44.6787	42.08089	99.27274	99.08202
46	0.8609689	4.614478	11.04495	22.98538	96.56645	97.25563	3.413227	21.86099	41.86409	39.79773	99.50127	99.61593
48	0.8582436	4.53353	10.89596	21.81653	97.2836	98.00583	3.380834	21.19168	40.0439	36.29721	99.71616	99.82769
50	0.8751436	4.621365	10.83166	21.15354	97.94395	98.51289	3.367248	20.74638	38.69783	33.94501	99.81187	99.9268
52	0.8438364	4.762064	10.53049	20.4712	98.36336	98.891	3.385643	20.0764	36.99519	31.54893	99.8971	99.9744
54	0.8236415	4.584227	10.53244	19.52859	98.79009	99.08521	3.221373	19.54909	36.23999	29.62196	99.94379	99.98864
56	0.8353875	4.547163	10.33537	18.92368	99.06209	99.24236	3.18309	18.59753	34.98794	28.61992	99.97032	99.99801
58	0.7803429	4.506018	10.20666	18.34151	99.26656	99.34193	3.051528	18.31166	33.80325	27.4405	99.99182	99.99814
