GENE,BF_SP_HT,BF_SP_WT
AACS,-5.927666666666667,-2.9553333333333334
AAGAB,6.290333333333334,0.7423333333333328
AAMP,-0.20199999999999996,14.937666666666667
AARS,18.683333333333334,28.353333333333335
AARS2,4.246,26.436666666666667
AASDHPPT,0.6913333333333332,11.390333333333333
ABCA1,2.3986666666666667,16.344333333333335
ABHD12,-2.112,7.399333333333333
ABT1,4.692333333333333,25.771
ACACA,2.251,-2.9633333333333334
ACAT2,11.122333333333334,1.1556666666666666
ACBD5,-4.278666666666667,9.706
ACD,-1.1133333333333335,13.783666666666667
ACIN1,-5.498,-4.072
ACOT13,-4.618,-5.135666666666666
ACOX1,1.8986666666666665,3.009333333333333
ACP6,-3.998666666666667,2.857
ACSBG2,-5.843333333333334,-4.2076666666666664
ACTL7B,-0.16033333333333358,9.404333333333334
ACTR10,18.116,39.67966666666666
ACTR3,-0.12200000000000018,0.9823333333333333
ACTR6,11.674333333333333,30.567
ACVR1B,-1.9709999999999999,-0.48566666666666647
ADAM11,-3.3056666666666668,7.345666666666666
ADAM18,-2.8893333333333335,1.6556666666666666
ADAT2,16.590666666666667,35.46866666666667
ADCY10,-5.451666666666667,-2.973333333333333
ADHFE1,-3.9676666666666667,3.4153333333333333
ADRM1,-0.9323333333333333,-1.268
AEBP2,3.5759999999999996,-3.512
AFAP1L1,0.9436666666666665,6.356000000000001
AFG3L2,3.497333333333333,10.939333333333332
AGK,25.597666666666665,23.654
AGPS,-4.253,3.2753333333333337
AGTR2,-2.392,-8.050666666666666
AHCTF1,1.8543333333333332,13.081
AIFM1,3.6513333333333335,22.254666666666665
AKAP13,2.5306666666666664,-4.338
AKT3,0.1590000000000001,-4.6626666666666665
ALAS1,-4.401666666666666,-1.5243333333333335
ALDH6A1,-4.433333333333334,5.719
ALG10,0.6336666666666665,-4.248666666666667
ALG2,0.6563333333333333,19.459666666666667
ALG5,4.007666666666666,4.130333333333334
ALG8,8.628666666666668,2.954
ALKBH5,2.0283333333333333,3.7923333333333336
ALKBH8,17.276,15.562000000000001
AMBRA1,-2.6936666666666667,11.047
AMER1,-5.523333333333333,2.142333333333333
AMFR,-5.249666666666666,-6.052
AMOTL2,-4.1690000000000005,-7.666333333333333
ANAPC10,5.743,19.21
ANAPC13,15.626,43.564
ANAPC15,0.5686666666666667,10.682666666666666
ANAPC4,13.274666666666667,32.45366666666666
ANKRD16,-4.6306666666666665,-1.47
ANKRD49,0.16600000000000006,12.609333333333334
ANLN,4.868,25.146
AP1G1,4.976333333333333,-5.694333333333333
APEX1,8.321333333333333,32.818666666666665
ARAP3,-7.451666666666666,-10.193333333333333
ARCN1,30.463,43.077333333333335
AREL1,10.401666666666666,20.469666666666665
ARGLU1,-4.031333333333333,8.442
ARHGAP4,6.998333333333333,18.047333333333334
ARID4B,1.013,-6.461666666666667
ARIH1,0.7580000000000001,15.712666666666667
ARIH2,-0.761,-4.17
ARL1,0.791,-4.850333333333333
ARMC5,-4.2843333333333335,10.663333333333334
ARMC6,-3.202666666666667,13.515333333333334
ARPC3,3.4690000000000003,1.0226666666666666
ARPC4,-2.171,1.403333333333333
ARRB2,-3.2543333333333333,11.592333333333332
ASH1L,-0.2993333333333333,10.595666666666666
ASH2L,22.235666666666667,49.14066666666667
ASNSD1,0.5899999999999997,11.438
ASPM,-1.29,-5.208333333333334
ATAD5,17.777,39.752
ATF6,4.808333333333334,-3.8103333333333333
ATF6B,-3.013333333333333,12.497
ATG4D,-2.8626666666666667,-0.5220000000000002
ATG9A,0.3023333333333334,-8.281333333333333
ATL2,0.738,12.780999999999999
ATP2A2,-2.7630000000000003,19.299999999999997
ATP2C2,-4.659,-7.5216666666666665
ATP5E,24.23,43.275999999999996
ATP5J,0.163,13.972333333333333
ATP5O,20.949333333333332,38.159666666666666
ATP6AP1,5.147333333333334,12.442333333333334
ATP6V0C,-2.7443333333333335,10.138666666666667
ATP6V1A,10.069333333333333,22.756333333333334
ATP6V1C1,26.373333333333335,26.362
ATP6V1E1,16.265,29.97533333333333
ATP6V1F,14.283,33.26
ATP6V1H,17.955333333333336,32.949666666666666
ATRIP,1.9986666666666668,14.801666666666666
ATRX,6.611,19.389
ATXN10,20.262,49.92766666666667
AUP1,-2.4226666666666667,2.436666666666667
AURKB,16.201,21.688000000000002
AVL9,-4.551666666666667,23.213666666666665
AXIN2,-0.2276666666666666,12.971
B4GALT1,-3.438333333333333,4.182666666666667
B4GALT7,-11.752666666666666,-10.390333333333333
BAK1,-13.213333333333333,-11.471
BARD1,13.602333333333334,31.406666666666666
BAX,-2.077,8.758333333333333
BBC3,-10.911333333333333,-12.322666666666667
BCAS2,24.352,35.498
BCAT2,-5.658,4.551666666666667
BCKDHA,12.513333333333334,34.175666666666665
BCL2L11,-7.336333333333333,-10.445333333333332
BCL2L12,-9.383333333333333,-11.819666666666667
BCL2L2,-3.163666666666667,-9.693999999999999
BDP1,15.102333333333334,25.872333333333334
BET1,8.236333333333334,28.674999999999997
BIRC5,14.176333333333334,34.407
BLM,14.066333333333334,36.438
BORA,16.566000000000003,27.73166666666667
BPTF,-3.5716666666666668,7.726666666666667
BRAP,7.083333333333334,2.937
BRCA1,12.796666666666667,34.336
BRCA2,34.13966666666667,34.10966666666667
BRD1,-0.9246666666666666,-9.118333333333334
BRD8,3.299,20.605666666666668
BRF1,4.686333333333333,29.579666666666668
BRI3BP,-2.8960000000000004,-2.3296666666666668
BRIX1,9.578333333333333,34.852666666666664
BRK1,0.6083333333333333,-1.9583333333333333
BRMS1,-0.6659999999999999,-4.795333333333334
