Gene,func,WG_Mut_BF,WG_WT_BF,group,pool_group
A1BG,Other,-8.443,-9.303,Normal,none
A1CF,Other,-8.163,-9.2335,Normal,none
A2M,Other,2.699,0.9055,Normal,none
A2ML1,Other,-9.33,-11.8705,Normal,none
A3GALT2,Other,-5.279,-9.469,Normal,none
A4GALT,Other,-8.56,-4.6765,Normal,none
A4GNT,Other,-8.9,-10.524,Normal,none
AAAS,Other,-10.003,-7.9675,Normal,none
AACS,Other,-8.788,-0.7615,Enriched,bagel
AADAC,Other,-7.567,-8.3845,Normal,none
AADACL2,Other,-9.556,-8.661,Normal,none
AADACL3,Other,-7.027,-9.1615,Normal,none
AADACL4,Other,-11.115,-9.3315,Normal,none
AADAT,Other,-7.32,-8.459,Normal,none
AAED1,Other,-7.659,-9.04,Normal,none
AAGAB,Other,9.133,0.096,Depleted,bagel
AAK1,Other,-10.427,-6.5885,Normal,none
AAMDC,Other,-10.003,-11.279,Normal,none
AAMP,Other,8.284,13.8235,Normal,LFC
AANAT,Other,-8.893,-7.9265,Normal,none
AAR2,Other,6.074,7.34,Normal,none
AARD,Other,-8.499,-6.547,Normal,none
AARS,CEG,28.471,14.8985,Depleted,bagel
AARS2,Other,12.235,14.547,Normal,LFC
AARSD1,Other,-9.866,-9.0975,Normal,none
AASDH,Other,-6.825,-8.2195,Normal,none
AASDHPPT,Other,11.673,12.8365,Normal,LFC
AASS,Other,-7.109,-9.4665,Normal,none
AATF,Other,17.014,12.192,Normal,none
AATK,Other,-4.966,-6.6965,Normal,none
ABAT,Other,-10.653,-10.408,Normal,none
ABCA1,Other,8.202,9.941,Normal,LFC
ABCA10,Other,-8.492,-8.686,Normal,none
ABCA12,Other,-9.543,-5.892,Normal,none
ABCA13,Other,-7.708,-8.899,Normal,none
ABCA2,Other,-4.738,-6.1775,Normal,none
ABCA3,Other,-8.156,-10.9135,Normal,none
ABCA4,Other,-9.7,-10.929,Normal,none
ABCA5,Other,-10.2,-9.9295,Normal,none
ABCA6,Other,-11.214,-7.463,Normal,none
ABCA7,Other,0.732,-2.0945,Normal,none
ABCA8,Other,-7.468,-3.978,Normal,none
ABCA9,Other,-10.908,-6.5125,Normal,none
ABCB1,Other,-6.312,-8.287,Normal,none
ABCB10,Other,-9.092,-7.6015,Normal,none
ABCB11,Other,-11.886,-7.0555,Normal,none
ABCB4,Other,-7.432,-8.1325,Normal,none
ABCB5,Other,-11.189,-10.8645,Normal,none
ABCB6,Other,-7.654,-7.759,Normal,none
ABCB7,Other,14.162,7.089,Normal,none
ABCB8,Other,-6.594,-9.1935,Normal,none
ABCB9,Other,-6.624,-7.1155,Normal,none
ABCC1,Other,-4.932,-7.0995,Normal,none
ABCC10,Other,-11.604,-7.314,Normal,none
ABCC11,Other,-3.03,-9.475,Normal,none
ABCC12,Other,-10.518,-10.277,Normal,none
ABCC2,Other,-9.631,-10.303,Normal,none
ABCC3,Other,-1.897,-5.9795,Normal,none
ABCC4,Other,5.174,-0.8805,Normal,none
ABCC5,Other,-8.181,-3.0255,Normal,none
ABCC6,Other,-3.421,-7.802,Normal,none
ABCC8,Other,-7.92,-10.0295,Normal,none
ABCC9,Other,5.563,4.0135,Normal,none
ABCD1,Other,0.01,1.5985,Normal,none
ABCD2,Other,-9.348,-8.801,Normal,none
ABCD3,Other,-1.295,0.45,Normal,none
ABCD4,Other,3.171,-2.984,Normal,none
ABCE1,CEG,20.593,12.3425,Normal,none
ABCF1,CEG,-2.594,-2.5635,Normal,none
ABCF2,Other,-8.128,-8.2845,Normal,none
ABCF3,Other,-6.774,-8.385,Normal,none
