Time	1069_bp	1069_bp	951_bp	951_bp	812_bp	812_bp	615_bp	615_bp	33_bp	33_bp	26_bp	26_bp
0	1	1	1	1	1	1	1	1	1	1	1	1
2	1.107771	1.070559	1.056601	1.114121	1.065298	1.097454	1.121983	1.085339	1.063679	1.079433	1.05396	1.053099
4	1.213121	1.128058	1.110132	1.130222	1.1175	1.151365	1.15844	1.152135	1.128805	1.156344	1.11567	1.153408
6	1.263593	1.263445	1.215658	1.25367	1.270081	1.267766	1.272467	1.268222	1.234637	1.233577	1.202639	1.240313
8	1.383777	1.343524	1.307507	1.341004	1.323969	1.379798	1.351961	1.330454	1.306995	1.326358	1.317194	1.363389
10	1.537181	1.501764	1.44368	1.457481	1.456184	1.48487	1.496937	1.46916	1.427081	1.453172	1.378563	1.475393
12	1.616899	1.636453	1.521837	1.539415	1.593023	1.612839	1.642123	1.530064	1.550258	1.546715	1.502713	1.577015
14	1.733594	1.688143	1.689064	1.680167	1.739892	1.713413	1.742342	1.674797	1.665715	1.662959	1.631274	1.719994
16	1.93582	1.942963	1.87953	1.8476	1.905414	1.946705	1.904828	1.82756	1.790752	1.864133	1.771386	1.885536
18	2.047714	2.013081	2.050528	2.101331	2.082403	2.074786	2.079028	1.97031	1.96406	1.974318	1.854132	2.04511
20	2.311729	2.233873	2.297103	2.179398	2.325939	2.28871	2.235383	2.154969	2.123479	2.166536	2.05097	2.203554
22	2.442984	2.420845	2.41874	2.500785	2.410136	2.549824	2.404646	2.384636	2.285868	2.287464	2.172118	2.382961
24	3.650273	3.222186	3.753537	3.272873	3.51286	3.471086	3.344881	3.185736	3.088694	3.002476	2.874361	3.061321
26	3.253252	3.202057	3.32767	3.047659	3.205855	3.184514	3.125387	2.972585	2.919578	2.780164	2.790893	2.998663
28	3.230302	3.28167	3.406992	3.100825	3.24449	3.241003	3.222526	2.93877	2.982093	2.842004	2.804813	3.010623
30	3.329341	3.364612	3.35477	3.198308	3.351896	3.335078	3.299974	3.027838	3.057254	2.917163	2.894198	3.043999
32	3.547559	3.576419	3.680053	3.291903	3.528688	3.508174	3.463519	3.327852	3.180198	3.064449	3.055328	3.26342
34	3.874684	3.85145	3.992699	3.555075	3.710995	3.756961	3.721144	3.504101	3.46286	3.247011	3.179244	3.431944
36	4.0881	4.068049	4.2305	3.756981	4.02361	3.98017	3.985826	3.693684	3.567905	3.357862	3.434914	3.55432
38	4.395712	4.393693	4.573579	3.899146	4.242459	4.161303	4.222596	3.985828	3.851064	3.621664	3.625984	3.816245
40	4.70949	4.608793	4.782526	4.142564	4.434286	4.452911	4.448306	4.207975	3.993362	3.755887	3.800664	3.993841
42	4.992092	4.835887	5.090152	4.310447	4.699719	4.584555	4.638828	4.449653	4.145237	3.887204	4.054757	4.154946
44	5.296345	5.035594	5.32907	4.45094	4.97335	4.752434	4.957721	4.630472	4.342552	4.086334	4.164011	4.268241
46	5.567981	5.25423	5.579118	4.581913	5.127587	4.912338	5.17615	4.88728	4.573519	4.218614	4.30118	4.410051
48	5.842256	5.389756	5.744355	4.711048	5.251038	5.049458	5.371391	5.000276	4.730488	4.416321	4.457939	4.541819
50	6.16027	5.519464	5.896608	4.797695	5.335017	5.17213	5.619486	5.078745	4.860155	4.489752	4.616645	4.61011
