Date Time	Elapsed	KOLF2C1_ARID1A_HET1	KOLF2C1_WT	SE_KOLF2C1_ARID1A_HET1	SE_KOLF2C1_WT
05/03/2021 14:32:00	0	1	1	0	0
05/03/2021 16:32:00	2	1.038321	1.07864	0.0008806922	0.003869147
05/03/2021 18:32:00	4	1.126832	1.215942	0.002633799	0.005415464
05/03/2021 20:32:00	6	1.138933	1.263999	0.003380864	0.003054767
05/03/2021 22:32:00	8	1.180083	1.351488	0.003608187	0.004028964
06/03/2021 00:32:00	10	1.228884	1.443384	0.006130852	0.005289561
06/03/2021 02:32:00	12	1.277689	1.554229	0.006904955	0.009756659
06/03/2021 04:32:00	14	1.333923	1.668473	0.006811506	0.008520979
06/03/2021 06:32:00	16	1.373858	1.780532	0.01219154	0.009704877
06/03/2021 08:32:00	18	1.451037	1.901513	0.009110244	0.0148295
06/03/2021 10:32:00	20	1.523163	2.027149	0.01125565	0.01633625
06/03/2021 12:32:00	22	1.595705	2.141924	0.01336988	0.02741856
06/03/2021 14:32:00	24	1.671293	2.275538	0.01609544	0.03128212
06/03/2021 16:32:00	26	1.783235	2.433334	0.01867366	0.03698487
06/03/2021 18:32:00	28	1.679041	2.411931	0.01098065	0.03683009
06/03/2021 20:32:00	30	1.75957	2.520375	0.0200605	0.04516407
06/03/2021 22:32:00	32	1.837797	2.618708	0.0246474	0.05444098
07/03/2021 00:32:00	34	1.896987	2.701515	0.02810801	0.06121898
07/03/2021 02:32:00	36	1.950032	2.77386	0.03091772	0.06960339
07/03/2021 04:32:00	38	2.004076	2.846669	0.03465599	0.0784305
07/03/2021 06:32:00	40	2.06741	2.910842	0.03975392	0.08786554
07/03/2021 08:32:00	42	2.133373	2.968125	0.0454674	0.09718224
07/03/2021 10:32:00	44	2.198295	3.019042	0.0524776	0.1065562
07/03/2021 12:32:00	46	2.254071	3.061797	0.06099674	0.1158647
07/03/2021 14:32:00	48	2.297642	3.095877	0.0688952	0.1242353
