sample	treatment	Confluence	min	max
A2	Oprozomib 1 µM	62.2055	55.833651	68.577349
B2	Oprozomib 1 µM	70.3057	69.5136467	71.0977533
F2	Oprozomib 1 µM	40.07716	39.160267	40.994053
C12	Oprozomib 1 µM	70.96794	66.557807	75.378073
WT	Oprozomib 1 µM	87.84351	87.1369251	88.5500949
HET1	Oprozomib 1 µM	60.02064	56.805024	63.236256
A2	Control	88.41264	85.883507	90.941773
B2	Control	87.48759	83.844478	91.130702
F2	Control	68.34193	60.037126	76.646734
C12	Control	92.73828	91.9577662	93.5187938
WT	Control	97.02818	96.0546692	98.0016908
HET1	Control	81.13116	73.939632	88.322688
