Elapsed	LV66-A_dCas9	LV66-B_dCas9	LV66-C_dCas9	LV66-D_dCas9	LV66-E_dCas9	LV66-F_dCas9	LV66-A_Cas9	LV66-B_Cas9	LV66-C_Cas9	LV66-D_Cas9	LV66-E_Cas9	LV66-F_Cas9	LV66-A_dCas9 (Std Err Well)	LV66-B_dCas9 (Std Err Well)	LV66-C_dCas9 (Std Err Well)	LV66-D_dCas9 (Std Err Well)	LV66-E_dCas9 (Std Err Well)	LV66-F_dCas9 (Std Err Well)	LV66-A_Cas9 (Std Err Well)	LV66-B_Cas9 (Std Err Well)	LV66-C_Cas9 (Std Err Well)	LV66-D_Cas9 (Std Err Well)	LV66-E_Cas9 (Std Err Well)	LV66-F_Cas9 (Std Err Well)
0	11.63638	18.03417	17.16932	12.76042	11.69334	15.2414	6.105357	5.262998	4.539086	6.60401	3.981082	5.940084	1.271364	7.411693	2.123811	1.355292	0.8984461	1.656958	1.892271	0.9128468	0.9918895	1.856644	1.015887	1.185147
2	14.12442	20.52662	19.85407	15.29778	14.14102	18.24416	7.716329	6.828243	5.98264	8.309608	5.02267	7.601463	1.338345	8.046592	2.332971	1.322045	0.9796143	1.783951	2.231889	0.9593551	1.17007	2.116217	1.234193	1.382856
4	15.65296	22.46744	21.97695	17.03677	15.62684	20.17471	9.555732	8.342584	7.287689	10.00304	6.364631	9.227887	1.458317	8.398131	2.383355	1.401152	1.196477	1.926489	2.438534	1.088645	1.372969	2.302346	1.405802	1.623957
6	17.26777	24.15216	23.55985	18.64482	17.22232	22.00613	11.24898	9.810827	8.77897	11.67614	7.725262	10.86503	1.549149	8.758686	2.431297	1.563107	1.249826	2.110299	2.785169	1.228559	1.52697	2.639177	1.44836	1.848797
8	18.56467	25.58805	25.14615	20.1049	18.54362	23.27673	12.95785	11.25528	10.03962	13.30341	9.091961	12.29588	1.498927	8.654634	2.486638	1.494097	1.513774	2.268814	2.775167	1.186869	1.657243	2.783312	1.661669	2.175529
10	20.03451	26.8231	26.14528	21.50335	19.48527	24.64576	14.71803	12.69098	11.32798	14.95859	10.48133	13.84879	1.422014	8.749562	2.781581	1.555703	1.536035	2.338119	2.944284	1.1843	1.695982	3.006515	1.672403	2.311538
12	21.4811	28.48672	28.06586	23.0929	21.09979	26.37102	16.63832	14.20018	12.82878	16.65744	11.96089	15.56327	1.41031	8.632153	2.61268	1.343658	1.495539	2.368472	3.195997	1.305912	1.818047	3.048896	1.78711	2.584316
14	23.0452	30.13919	29.91544	24.52651	22.41228	27.96596	18.03514	15.41557	13.83739	17.88148	13.22357	16.66994	1.504373	8.721164	2.663647	1.378535	1.83176	2.505572	3.112396	1.358343	1.832482	3.070678	1.925059	2.679034
16	25.17867	32.47389	32.22565	26.73969	24.79582	30.05285	19.92153	16.90277	15.42411	19.56892	14.86215	18.37563	1.591057	8.90512	2.796296	1.424082	1.773439	2.524238	3.137412	1.398853	2.019051	3.24104	2.079425	2.754492
18	27.15161	34.33557	34.03715	28.39782	26.6074	32.05519	21.76648	18.14941	16.845	20.91647	16.3406	19.83917	1.624311	9.307959	2.734567	1.689822	1.95803	2.544789	3.539475	1.384628	2.026021	3.351609	2.232131	2.862526
