line	con	ratio
ARID-HET1	10	0.002704119
ARID-HET1	10	0.018339837
ARID-HET1	2	0.053179078
ARID-HET1	2	0.06813139
ARID-HET1	0.4	0.121103642
ARID-HET1	0.4	0.192658925
ARID-HET1	0.08	0.199161237
ARID-HET1	0.08	0.407492015
ARID-HET1	0.02	0.980585902
ARID-HET1	0.02	1.120443892
ARID-HET1	0	1.04132589
ARID-HET1	0	0.95867411
ARID-WT	10	0.029572513
ARID-WT	10	0.051174165
ARID-WT	2	0.260902928
ARID-WT	2	0.363143705
ARID-WT	0.4	0.632641888
ARID-WT	0.4	0.614327256
ARID-WT	0.08	0.487794009
ARID-WT	0.08	0.553052051
ARID-WT	0.02	1.096998606
ARID-WT	0.02	1.043669507
ARID-WT	0	0.997780481
ARID-WT	0	1.002219519
