sample	conc	ratio
ARID-HET1	10	0.001077735
ARID-HET1	10	7.91406E-05
ARID-HET1	10	0.001028828
ARID-HET1	10	0.001705525
ARID-HET1	10	0.00638638
ARID-HET1	10	0.003688486
ARID-HET1	10	0.001649503
ARID-HET1	10	0.005249067
ARID-HET1	10	0.000919454
ARID-HET1	10	0.001765992
ARID-HET1	10	0.01481085
ARID-HET1	10	0.003426165
ARID-HET1	10	0.000575326
ARID-HET1	10	0.000502409
ARID-HET1	10	0.000322787
ARID-HET1	10	7.82514E-05
ARID-HET1	10	0.013100876
ARID-HET1	10	0.005041879
ARID-HET1	10	0.004715535
ARID-HET1	10	0.01306887
ARID-HET1	10	0.007964746
ARID-HET1	10	0.006508203
ARID-HET1	10	0.060979156
ARID-HET1	10	0.068368578
ARID-HET1	10	0.000781625
ARID-HET1	10	0.018573147
ARID-HET1	10	0.070349754
ARID-HET1	10	0.014807295
ARID-HET1	10	0.000265877
ARID-HET1	10	0.00029611
ARID-HET1	10	0.002734353
ARID-HET1	10	0.005881303
ARID-HET1	2	0.012159198
ARID-HET1	2	0.009816101
ARID-HET1	2	0.00872414
ARID-HET1	2	0.018790116
ARID-HET1	2	0.065935664
ARID-HET1	2	0.061437093
ARID-HET1	2	0.021720096
ARID-HET1	2	0.040562674
ARID-HET1	2	0.03858681
ARID-HET1	2	0.050083522
ARID-HET1	2	0.228144092
ARID-HET1	2	0.183428699
ARID-HET1	2	0.026187533
ARID-HET1	2	0.011659457
ARID-HET1	2	0.009311027
ARID-HET1	2	0.064319063
ARID-HET1	2	0.116037011
ARID-HET1	2	0.042430033
ARID-HET1	2	0.029447401
ARID-HET1	2	0.159311015
ARID-HET1	2	0.0317834
ARID-HET1	2	0.07031685
ARID-HET1	2	0.162361061
ARID-HET1	2	0.093457006
ARID-HET1	2	0.008129249
ARID-HET1	2	0.058891286
ARID-HET1	2	0.087032403
ARID-HET1	2	0.086963913
ARID-HET1	2	0.018280577
ARID-HET1	2	0.016784917
ARID-HET1	2	0.028174048
ARID-HET1	2	0.080702034
ARID-HET1	0.4	0.056812283
ARID-HET1	0.4	0.068041334
ARID-HET1	0.4	0.056973236
ARID-HET1	0.4	0.07268574
ARID-HET1	0.4	0.066511896
ARID-HET1	0.4	0.090719139
ARID-HET1	0.4	0.069996754
ARID-HET1	0.4	0.108794284
ARID-HET1	0.4	0.082974894
ARID-HET1	0.4	0.081559273
ARID-HET1	0.4	0.151478604
ARID-HET1	0.4	0.26599636
ARID-HET1	0.4	0.184906456
ARID-HET1	0.4	0.077085586
ARID-HET1	0.4	0.093906089
ARID-HET1	0.4	0.409216115
ARID-HET1	0.4	0.145366142
ARID-HET1	0.4	0.103170878
ARID-HET1	0.4	0.139611106
ARID-HET1	0.4	0.358732535
ARID-HET1	0.4	0.089367517
ARID-HET1	0.4	0.229728491
ARID-HET1	0.4	0.263827577
ARID-HET1	0.4	0.2673275
ARID-HET1	0.4	0.071894348
ARID-HET1	0.4	0.124301407
ARID-HET1	0.4	0.430613445
ARID-HET1	0.4	0.222020041
ARID-HET1	0.4	0.112294259
ARID-HET1	0.4	0.102818724
ARID-HET1	0.4	0.169307521
ARID-HET1	0.4	0.252161124
ARID-HET1	0.08	0.137103516
ARID-HET1	0.08	0.127452783
ARID-HET1	0.08	0.083798318
ARID-HET1	0.08	0.116882623
ARID-HET1	0.08	0.12140609
ARID-HET1	0.08	0.227132879
ARID-HET1	0.08	0.137172007
ARID-HET1	0.08	0.238789697
ARID-HET1	0.08	0.13243782
ARID-HET1	0.08	0.19286491
ARID-HET1	0.08	0.28516449
ARID-HET1	0.08	0.302021517
ARID-HET1	0.08	0.21718429
ARID-HET1	0.08	0.16317722
ARID-HET1	0.08	0.242396262
ARID-HET1	0.08	0.461594776
ARID-HET1	0.08	0.487838404
ARID-HET1	0.08	0.348865719
ARID-HET1	0.08	0.392990478
ARID-HET1	0.08	0.492936398
ARID-HET1	0.08	0.272352446
ARID-HET1	0.08	0.308886856
ARID-HET1	0.08	0.477080558
ARID-HET1	0.08	0.383561298
ARID-HET1	0.08	0.213991143
ARID-HET1	0.08	0.209275446
ARID-HET1	0.08	0.718642172
ARID-HET1	0.08	0.561564524
ARID-HET1	0.08	0.339861155
ARID-HET1	0.08	0.252843035
ARID-HET1	0.08	0.44174851
ARID-HET1	0.08	0.617433082
ARID-HET1	0.02	0.883520198
ARID-HET1	0.02	0.785517667
ARID-HET1	0.02	0.723958659
ARID-HET1	0.02	0.773874912
ARID-HET1	0.02	0.949703235
ARID-HET1	0.02	1.025398266
ARID-HET1	0.02	1.00139087
ARID-HET1	0.02	0.957150484
ARID-HET1	0.02	1.014875059
ARID-HET1	0.02	1.083088987
ARID-HET1	0.02	1.109811789
ARID-HET1	0.02	1.087145559
ARID-HET1	0.02	1.136272347
ARID-HET1	0.02	0.907548949
ARID-HET1	0.02	1.04181401
ARID-HET1	0.02	1.20830365
ARID-HET1	0.02	1.22308877
ARID-HET1	0.02	1.211175829
ARID-HET1	0.02	1.159037276
ARID-HET1	0.02	1.038144163
ARID-HET1	0.02	1.132097414
ARID-HET1	0.02	1.225231772
ARID-HET1	0.02	1.117329351
ARID-HET1	0.02	1.014935607
ARID-HET1	0.02	1.094363507
ARID-HET1	0.02	1.045741674
ARID-HET1	0.02	1.047605635
ARID-HET1	0.02	1.073907857
ARID-HET1	0.02	1.198892179
ARID-HET1	0.02	1.091596147
ARID-HET1	0.02	1.129274194
ARID-HET1	0.02	1.124680504
ARID-WT	10	0.037336425
ARID-WT	10	0.006606626
ARID-WT	10	0.004034108
ARID-WT	10	0.025165056
ARID-WT	10	0.021089833
ARID-WT	10	0.013226433
ARID-WT	10	0.046617979
ARID-WT	10	0.019609631
ARID-WT	10	0.028127029
ARID-WT	10	0.101993031
ARID-WT	10	0.114060421
ARID-WT	10	0.013051885
ARID-WT	10	0.010410315
ARID-WT	10	0.004402606
ARID-WT	10	0.010078281
ARID-WT	10	0.016661631
ARID-WT	10	0.020072007
ARID-WT	10	0.036706499
ARID-WT	10	0.025566918
ARID-WT	10	0.060887809
ARID-WT	10	0.006186925
ARID-WT	10	0.029282175
ARID-WT	10	0.168202964
ARID-WT	10	0.059881638
ARID-WT	10	0.00765472
ARID-WT	10	0.106994563
ARID-WT	10	0.195913182
ARID-WT	10	0.025110767
ARID-WT	10	0.005479403
ARID-WT	10	0.023056461
ARID-WT	10	0.02457856
ARID-WT	10	0.022020005
