tss_id	gene_name	gene_count	chr	peak_start	peak_end	peak_score	strand	tss_start	tss_end	median_cpm	cpm_rank	cpm_max	canonical_rank
hg_144018.1	ABCD4	1	14	74302926	74302945	61283	-	74302933	74302934	23.7224852046588	1	23.7224852046588	2
hg_144019.1	ABCD4	1	14	74302950	74303002	92023	-	74302972	74302973	7.90506111603434	2	23.7224852046588	1
hg_144020.1	ABCD4	1	14	74303062	74303073	2642	-	74303067	74303068	0	3	23.7224852046588	3
hg_24754.1	ABI2	1	2	203328378	203328405	165108	+	203328393	203328394	48.0893617242008	1	48.0893617242008	2
hg_24752.1	ABI2	1	2	203328266	203328315	218991	+	203328303	203328304	26.7687958931856	2	48.0893617242008	1
hg_24755.1	ABI2	1	2	203328406	203328416	12225	+	203328413	203328414	2.87317635028453	3	48.0893617242008	3
hg_24753.1	ABI2	1	2	203328362	203328373	12001	+	203328367	203328368	2.4434163479835	4	48.0893617242008	4
hg_24756.1	ABI2	1	2	203328426	203328433	6530	+	203328429	203328430	1.56151422916792	5	48.0893617242008	5
hg_24762.1	ABI2	1	2	203394698	203394717	2542	+	203394710	203394711	1.27576457221999	6	48.0893617242008	7
hg_24758.1	ABI2	1	2	203366891	203366920	3053	+	203366896	203366897	0.930082650058666	7	48.0893617242008	6
hg_227932.1	ABI2	1	2	203432060	203432086	187	+	203432076	203432077	0	8	48.0893617242008	8
hg_16081.1	ABL2	1	1	179229671	179229697	36250	-	179229676	179229677	3.0761928834258	1	3.0761928834258	2
hg_16080.1	ABL2	1	1	179229567	179229606	2721	-	179229594	179229595	0.0732553827688982	2	3.0761928834258	4
hg_16072.1	ABL2	1	1	179142974	179142990	3047	-	179142984	179142985	0	3	3.0761928834258	3
hg_16073.1	ABL2	1	1	179143010	179143016	2247	-	179143013	179143014	0	4	3.0761928834258	5
hg_16074.1	ABL2	1	1	179143038	179143043	1569	-	179143041	179143042	0	5	3.0761928834258	6
hg_16075.1	ABL2	1	1	179143054	179143084	90616	-	179143073	179143074	0	6	3.0761928834258	1
hg_111489.1	ABLIM1	1	10	114526840	114526895	71842	-	114526877	114526878	16.2711991343921	1	16.2711991343921	2
hg_111490.1	ABLIM1	1	10	114526897	114526934	88285	-	114526909	114526910	11.9933803370021	2	16.2711991343921	1
hg_111488.1	ABLIM1	1	10	114526804	114526839	40834	-	114526823	114526824	2.02029656113142	3	16.2711991343921	4
hg_111498.1	ABLIM1	1	10	114632011	114632079	27661	-	114632045	114632046	0.926169062979707	4	16.2711991343921	5
hg_111514.1	ABLIM1	1	10	114768218	114768316	52727	-	114768259	114768260	0.703370327577773	5	16.2711991343921	3
hg_111499.1	ABLIM1	1	10	114632164	114632243	10908	-	114632223	114632224	0.372627273662066	6	16.2711991343921	7
hg_111487.1	ABLIM1	1	10	114526779	114526791	7883	-	114526785	114526786	0.268406308199878	7	16.2711991343921	8
hg_111516.1	ABLIM1	1	10	114768359	114768371	1789	-	114768365	114768366	0.0732553827688982	8	16.2711991343921	12
hg_111520.1	ABLIM1	1	10	114768640	114768672	1288	-	114768655	114768656	0.0732553827688982	9	16.2711991343921	15
hg_111485.1	ABLIM1	1	10	114473059	114473081	1758	-	114473075	114473076	0	10	16.2711991343921	13
hg_111494.1	ABLIM1	1	10	114575633	114575678	1474	-	114575671	114575672	0	11	16.2711991343921	14
hg_111495.1	ABLIM1	1	10	114575705	114575716	400	-	114575710	114575711	0	12	16.2711991343921	24
hg_111496.1	ABLIM1	1	10	114613730	114613739	96	-	114613735	114613736	0	13	16.2711991343921	29
hg_111497.1	ABLIM1	1	10	114631991	114632002	1147	-	114631996	114631997	0	14	16.2711991343921	17
hg_111500.1	ABLIM1	1	10	114632257	114632274	3390	-	114632264	114632265	0	15	16.2711991343921	10
hg_111501.1	ABLIM1	1	10	114632286	114632297	529	-	114632291	114632292	0	16	16.2711991343921	23
hg_111504.1	ABLIM1	1	10	114658234	114658240	29	-	114658236	114658237	0	17	16.2711991343921	31
hg_111505.1	ABLIM1	1	10	114658269	114658281	143	-	114658274	114658275	0	18	16.2711991343921	27
hg_111506.1	ABLIM1	1	10	114658294	114658303	55	-	114658298	114658299	0	19	16.2711991343921	30
hg_111507.1	ABLIM1	1	10	114684348	114684357	368	-	114684352	114684353	0	20	16.2711991343921	25
hg_111508.1	ABLIM1	1	10	114684384	114684454	13690	-	114684422	114684423	0	21	16.2711991343921	6
hg_111509.1	ABLIM1	1	10	114684457	114684482	3447	-	114684474	114684475	0	22	16.2711991343921	9
hg_111510.1	ABLIM1	1	10	114684612	114684623	888	-	114684617	114684618	0	23	16.2711991343921	20
hg_111511.1	ABLIM1	1	10	114685002	114685005	695	-	114685002	114685003	0	24	16.2711991343921	21
hg_111513.1	ABLIM1	1	10	114768197	114768211	940	-	114768205	114768206	0	25	16.2711991343921	19
hg_111515.1	ABLIM1	1	10	114768320	114768331	1145	-	114768325	114768326	0	26	16.2711991343921	18
hg_111517.1	ABLIM1	1	10	114768383	114768394	1233	-	114768388	114768389	0	27	16.2711991343921	16
