Gene,Annot,IPSC_1_inh,IPSC_2_inh,K562_1_inh,K562_2_inh,IPSC_AV_inh,K562_Av_inh,IPSC_Av_Cut,K562_Av_cut,iPSC_1_cut,iPSC_2_cut,chr,strand.y,Count,tss_id,tss_start,start,TSS_distance,Unique,chr_type,distance,bidirectional,distance_to_neighbour_TSS,max_off_target,crispr_off_target
SAMD11,Other,-0.1193656,-0.2920491,0.1510165,0.875646,-0.20570735,0.51333125,-0.0207189,-0.05646111,-0.2003662,0.1589284,1,+,1,hg_36.1,942112,942158,46,Unique,Autosomal,close,NA,NA,1,specific
NOC2L,Other,-4.183151,-4.338093,-2.660919,-1.800778,-4.260622,-2.2308485,-1.05740635,-1.1905444,-0.7749387,-1.339874,1,-,1,hg_9670.1,959255,959211.333333333,43.6666666666667,Unique,Autosomal,close,NA,1377,3,non-specific
KLHL17,Other,-0.7556195,-1.401121,-0.04303118,-0.2215382,-1.07837025,-0.13228469,-0.3309082,-0.37208885,-0.3037429,-0.3580735,1,+,1,hg_41.1,960632,960657,25,Unique,Autosomal,close,NA,1377,1,specific
PLEKHN1,Other,-0.0698694,0.2341144,0.1492731,-0.2603649,0.0821225,-0.0555459,0.4570954,0.5493341,0.4047439,0.5094469,1,+,1,hg_42.1,966503,966530.333333333,27.3333333333333,Unique,Autosomal,close,NA,5871,1,specific
PERM1,Other,0.1563121,0.4660368,0.07749891,0.3478777,0.31117445,0.212688305,1.309159,0.6222057,1.254373,1.363945,1,-,1,hg_9674.1,980723,982029.333333333,1306.33333333333,Unique,Autosomal,middle,NA,14220,1,specific
HES4,Other,-2.452097,-1.72291,-0.1293721,-0.283897,-2.0875035,-0.20663455,-0.09808185,0.07804037,-0.3030098,0.1068461,1,-,1,hg_9679.1,999562,1000044,482,Unique,Autosomal,close,NA,13934,1,specific
ISG15,Other,0.09697328,0.05706019,0.2089723,0.06713148,0.077016735,0.13805189,0.02812672,-0.221731725,0.08146199,-0.02520855,1,+,1,hg_47.1,1013496,1013535.66666667,39.6666666666667,Unique,Autosomal,close,NA,6623,1,specific
AGRN,Other,-1.54919658033333,-1.74736495466667,-0.560143183333333,-0.761818562666667,-1.6482807675,-0.660980873,-0.115780545,0.28232015,-0.2921946,0.06063351,1,+,1,hg_50.1,1020119,1020160.66666667,41.6666666666667,Unique,Autosomal,close,NA,6623,1,specific
RNF223,Other,-0.9321547,-0.8986805,-0.8416443,-0.7891855,-0.9154176,-0.8154149,-0.63160295,-0.454934,-0.7475098,-0.5156961,1,-,1,hg_9695.1,1074305,1074240,65,Unique,Autosomal,close,NA,41783,1,specific
C1orf159,Other,-3.610809,-2.652183,-1.027279,-1.111442,-3.131496,-1.0693605,-0.4488538,0.089131575,-0.354175,-0.5435326,1,-,1,hg_9699.1,1116088,1116051,37,Unique,Autosomal,close,NA,41783,1,specific
TTLL10,Other,-3.296457,-2.538763,-1.293944,-0.9918621,-2.91761,-1.14290305,-0.05567135,0.32336985,-0.2774911,0.1661484,1,+,1,hg_69.1,1173879,1179730,5851,Unique,Autosomal,far,NA,32625,1,specific
TNFRSF18,Other,0.2336614,0.3570634,0.2897053,0.5706469,0.2953624,0.4301761,0.4382677,0.1477342,0.3594643,0.5170711,1,-,1,hg_9714.1,1206504,1206539,35,Unique,Autosomal,close,NA,6520,1,specific
TNFRSF4,Other,-3.094436,-2.882634,0.143241,0.2630153,-2.988535,0.20312815,0.28206045,0.094553175,0.1798927,0.3842282,1,-,1,hg_9721.1,1213024,1214091.33333333,1067.33333333333,Unique,Autosomal,middle,NA,6520,1,specific
SDF4,Other,-0.6616852,-0.5401787,0.1070747,-0.4535044,-0.60093195,-0.17321485,0.3655394,0.243238815,0.374859,0.3562198,1,-,1,hg_9735.1,1232000,1231949,51,Unique,Autosomal,close,<1000,258,1,specific
B3GALT6,Other,-1.619726,-1.464667,-1.163132,-0.9688069,-1.5421965,-1.06596945,0.7387441,0.2321369,0.7731983,0.7042899,1,+,1,hg_77.1,1232258,1232293.33333333,35.3333333333333,Unique,Autosomal,close,<1000,258,1,specific
UBE2J2,Other,-3.146433,-2.804389,-1.249251,-1.552183,-2.975411,-1.400717,-0.280694655,-0.28564625,-0.5957141,0.03432479,1,-,1,hg_9746.1,1273832,1273770.33333333,61.6666666666667,Unique,Autosomal,close,<1000,203,1,specific
SCNN1D,Other,-2.210799,-1.927516,0.6270799,0.2347567,-2.0691575,0.4309183,-0.21921315,-0.2245178,-0.1961069,-0.2423194,1,+,1,hg_78.1,1274035,1284048,10013,Unique,Autosomal,far,<1000,203,1,specific
ACAP3,Other,0.125899543,-0.026707091,-0.242975402666667,-0.448704359333333,0.049596226,-0.345839881,0.3380296,0.32257825,0.3332505,0.3428087,1,-,1,hg_9749.1,1307929,1307856,73,Unique,Autosomal,close,<1000,667,1,specific
PUSL1,Other,0.008441318,-0.153439,0.2936432,-0.09550227,-0.072498841,0.099070465,-0.22334538,-0.21828375,-0.3685989,-0.07809186,1,+,1,hg_81.1,1308596,1308637,41,Unique,Autosomal,close,<1000,667,1,specific
CPTP,Other,-3.695984,-4.456451,-0.1724932,-0.1840504,-4.0762175,-0.1782718,0.58785975,0.61837315,0.6066022,0.5691173,1,+,1,hg_84.1,1324801,1324831.66666667,30.6666666666667,Unique,Autosomal,close,NA,6478,1,specific
TAS1R3,Other,0.2154602,0.0177026,-0.2833042,0.5786375,0.1165814,0.14766665,-0.3384759,-0.2696263,-0.4999611,-0.1769907,1,+,1,hg_89.1,1331279,1331320.33333333,41.3333333333333,Unique,Autosomal,close,NA,6478,1,specific
DVL1,Other,-1.01616,-1.07713,-0.1541349,-0.3587758,-1.046645,-0.25645535,0.32581155,0.160998,0.4714687,0.1801544,1,-,1,hg_9756.1,1349417,1349378.33333333,38.6666666666667,Unique,Autosomal,close,NA,9125,1,specific
MXRA8,Other,-0.07264704,0.160713,-0.07056419,-0.500595,0.04403298,-0.285579595,0.69741105,0.48212155,0.7903251,0.604497,1,-,1,hg_9771.1,1358542,1358472,70,Unique,Autosomal,close,NA,9125,1,specific
AURKAIP1,Other,-3.738772,-3.991646,-1.940583,-1.738526,-3.865209,-1.8395545,-0.4279652,-0.1836178,-0.3008814,-0.555049,1,-,1,hg_9773.1,1375181,1375133,48,Unique,Autosomal,close,NA,16639,1,specific
CCNL2,Other,-0.3894137,-0.6196538,-0.09624838,-0.4697523,-0.50453375,-0.28300034,-0.00822285,-0.058195485,0.01700316,-0.03344886,1,-,1,hg_9780.1,1399313,1399255.66666667,57.3333333333333,Unique,Autosomal,close,NA,7979,1,specific
MRPL20,Other,-0.7144474,-0.7437948,0.6401937,-0.1756423,-0.7291211,0.2322757,-1.0116444,-0.80977525,-1.123587,-0.8997018,1,-,1,hg_9782.1,1407292,1407218,74,Unique,Autosomal,close,NA,7979,1,specific
ANKRD65,Other,-0.0380244126666667,-0.131639455333333,-0.253239508,-0.139336790666667,-0.0848319339999998,-0.196288149333333,-0.54241745,-0.275622505,-0.5919538,-0.4928811,1,-,1,hg_9788.1,1421275,1421229.33333333,45.6666666666667,Unique,Autosomal,close,NA,4804,1,specific
TMEM88B,Other,0.2940222,0.2776191,0.6250181,0.01296327,0.28582065,0.318990685,-0.1721018,0.15418212,-0.2043917,-0.1398119,1,+,1,hg_104.1,1426079,1425918,161,Unique,Autosomal,close,NA,4804,1,specific
VWA1,Other,0.08438696,-0.04529923,-0.2133226,0.176406,0.019543865,-0.0184583,0.58542795,0.41799565,0.6107197,0.5601362,1,+,1,hg_111.1,1435715,1435758,43,Unique,Autosomal,close,NA,9636,1,specific
ATAD3C,Other,-0.03774908,0.06847844,-0.2112951,0.2910326,0.01536468,0.03986875,0.4429623,0.16540411,0.4444303,0.4414943,1,+,1,hg_114.1,1462468,1462510.33333333,42.3333333333333,Unique,Autosomal,close,NA,9312,1,specific
ATAD3B,Other,-0.0980051,0.1419345,-0.2800516,0.01169846,0.0219647,-0.13417657,0.4569037,0.1398854239,0.5512306,0.3625768,1,+,1,hg_116.1,1471780,1471825,45,Unique,Autosomal,close,NA,9312,1,specific
